&FCI NMODE= 4, NBOSON= 3
&END
1.0000000000 1 1 1 1 
0.5000000000 1 2 1 2 
0.5000000000 1 2 2 1 
0.2500000000 1 3 1 3 
0.3535533906 1 3 2 2 
0.2500000000 1 3 3 1 
0.1250000000 1 4 1 4 
0.2165063509 1 4 2 3 
0.2165063509 1 4 3 2 
0.1250000000 1 4 4 1 
0.5000000000 2 1 1 2 
0.5000000000 2 1 2 1 
0.3535533906 2 2 1 3 
0.5000000000 2 2 2 2 
0.3535533906 2 2 3 1 
0.2165063509 2 3 1 4 
0.3750000000 2 3 2 3 
0.3750000000 2 3 3 2 
0.2165063509 2 3 4 1 
0.2500000000 2 4 2 4 
0.3061862178 2 4 3 3 
0.2500000000 2 4 4 2 
0.2500000000 3 1 1 3 
0.3535533906 3 1 2 2 
0.2500000000 3 1 3 1 
0.2165063509 3 2 1 4 
0.3750000000 3 2 2 3 
0.3750000000 3 2 3 2 
0.2165063509 3 2 4 1 
0.3061862178 3 3 2 4 
0.3750000000 3 3 3 3 
0.3061862178 3 3 4 2 
0.3125000000 3 4 3 4 
0.3125000000 3 4 4 3 
0.1250000000 4 1 1 4 
0.2165063509 4 1 2 3 
0.2165063509 4 1 3 2 
0.1250000000 4 1 4 1 
0.2500000000 4 2 2 4 
0.3061862178 4 2 3 3 
0.2500000000 4 2 4 2 
0.3125000000 4 3 3 4 
0.3125000000 4 3 4 3 
0.3125000000 4 4 4 4 
&FCI NMODE= 4, NBOSON= 3
&END
1.0000000000 1 1 1 1 
0.5000000000 1 2 1 2 
0.5000000000 1 2 2 1 
0.2500000000 1 3 1 3 
0.3535533906 1 3 2 2 
0.2500000000 1 3 3 1 
0.1250000000 1 4 1 4 
0.2165063509 1 4 2 3 
0.2165063509 1 4 3 2 
0.1250000000 1 4 4 1 
0.5000000000 2 1 1 2 
0.5000000000 2 1 2 1 
0.3535533906 2 2 1 3 
0.5000000000 2 2 2 2 
0.3535533906 2 2 3 1 
0.2165063509 2 3 1 4 
0.3750000000 2 3 2 3 
0.3750000000 2 3 3 2 
0.2165063509 2 3 4 1 
0.2500000000 2 4 2 4 
0.3061862178 2 4 3 3 
0.2500000000 2 4 4 2 
0.2500000000 3 1 1 3 
0.3535533906 3 1 2 2 
0.2500000000 3 1 3 1 
0.2165063509 3 2 1 4 
0.3750000000 3 2 2 3 
0.3750000000 3 2 3 2 
0.2165063509 3 2 4 1 
0.3061862178 3 3 2 4 
0.3750000000 3 3 3 3 
0.3061862178 3 3 4 2 
0.3125000000 3 4 3 4 
0.3125000000 3 4 4 3 
0.1250000000 4 1 1 4 
0.2165063509 4 1 2 3 
0.2165063509 4 1 3 2 
0.1250000000 4 1 4 1 
0.2500000000 4 2 2 4 
0.3061862178 4 2 3 3 
0.2500000000 4 2 4 2 
0.3125000000 4 3 3 4 
0.3125000000 4 3 4 3 
0.3125000000 4 4 4 4 
